Code,Item Code,Drink_Name,Size,Age,Proof,Unit_Price,Case_Price,
6757B,99900675775,SKYY INFUSIONS BLOOD ORANGE FLAVORED,750 ML,,70,14.95,179.40,
6629B,99900662975,SKYY INFUSIONS CITRUS FLAVORED VODKA,750 ML,,70,14.95,179.40,
6484B,99900648475,SKYY INFUSIONS PINEAPPLE VODKA,750 ML,,70,14.95,179.40,
6625B,99900662575,SKYY INFUSIONS RASPBERRY FLAVORED VODKA,750 ML,,70,14.95,179.40,
1599B,99900159975,SKYY INFUSIONS WILD STRAWBERRY FLVRD VOD,750 ML,,70,19.95,239.40,
0675B,99900067575,SKYY VODKA,750 ML,,80,14.95,179.40,
0675E,99900067537,SKYY VODKA,375 ML,,80,10.95,131.40,
0675H,99900067517,SKYY VODKA,1.75 L,,80,26.95,161.70,
0675F,99900067505,SKYY VODKA,50 ML,,80,2.00,240.00,
0675A,99900067510,SKYY VODKA,LITER,,80,19.95,239.40,
7417B,99900741775,SLANE IRISH WHISKEY,750 ML,,80,26.95,161.70,
0109B,99900010975,SLAPTAIL VODKA,750 ML,,80,19.95,239.40,
0375B,99900037575,SMIRNOFF COCONUT,750 ML,,70,11.95,143.40,
1322B,99900132275,SMIRNOFF KISSED CARAMEL,750 ML,,60,11.95,143.40,
6759B,99900675975,SMIRNOFF PEACH FLAVORED VODKA,750 ML,,70,11.95,143.40,
3421B,99900342175,SMIRNOFF PEPPERMINT TWIST,750 ML,,60,11.95,143.40,
3421F,99900342105,SMIRNOFF PEPPERMINT TWIST,50 ML,,60,1.75,210.00,
,@ 9665B  99900966575,SMIRNOFF PINK LEMONADE,750 ML,,60,11.95,143.40,
3805B,99900380575,"SMIRNOFF RED, WHITE & BERRY",750 ML,,60,11.95,143.40,
3805F,99900380505,"SMIRNOFF RED, WHITE & BERRY",50 ML,,60,1.75,210.00,
,3805H  99900380517,"SMIRNOFF RED, WHITE & BERRY",1.75 L,,60,24.95,149.70,
2910B,99900291075,SMIRNOFF RUBY RED GRAPEFRUIT,750 ML,,70,11.95,143.40,
0671B,99900067175,SMIRNOFF SILVER,750 ML,,90,16.45,197.40,
3489B,99900348975,SMIRNOFF SOURS BERRY LEMON,750 ML,,60,11.95,143.40,
2777B,99900277775,SMIRNOFF SOURS GREEN APPLE,750 ML,,60,11.95,143.40,
,@ 10046B 99901004675,SMIRNOFF SPICY TAMARIND,750 ML,,70,13.95,167.40,
6235B,99900623575,SMIRNOFF TWIST OF BLACK CHERRY VODKA,750 ML,,70,11.95,143.40,
6362B,99900636275,SMIRNOFF TWIST OF BLUEBERRY VODKA,750 ML,,70,11.95,143.40,
6362H,99900636217,SMIRNOFF TWIST OF BLUEBERRY VODKA,1.75 L,,70,24.95,149.70,
0682B,99900068275,SMIRNOFF TWIST OF CITRUS VODKA,750 ML,,70,11.95,143.40,
0682H,99900068217,SMIRNOFF TWIST OF CITRUS VODKA,1.75 L,,70,24.95,149.70,
0614B,99900061475,SMIRNOFF TWIST OF CRANBERRY VODKA,750 ML,,70,11.95,143.40,
0638B,99900063875,SMIRNOFF TWIST OF GREEN APPLE VODKA,750 ML,,70,11.95,143.40,
6280B,99900628075,SMIRNOFF TWIST OF LIME VODKA,750 ML,,70,11.95,143.40,
0629B,99900062975,SMIRNOFF TWIST OF ORANGE VODKA,750 ML,,70,11.95,143.40,
0629H,99900062917,SMIRNOFF TWIST OF ORANGE VODKA,1.75 L,,70,24.95,149.70,
6624B,99900662475,SMIRNOFF TWIST OF PASSION FRUIT VODKA,750 ML,,70,11.95,143.40,
6447B,99900644775,SMIRNOFF TWIST OF PINEAPPLE VODKA,750 ML,,70,11.95,143.40,
0628B,99900062875,SMIRNOFF TWIST OF RASPBERRY VODKA,750 ML,,70,11.95,143.40,
0628H,99900062817,SMIRNOFF TWIST OF RASPBERRY VODKA,1.75 L,,70,24.95,149.70,
0628E,99900062837,SMIRNOFF TWIST OF RASPBERRY VODKA,375 ML,,70,9.25,111.00,
6210B,99900621075,SMIRNOFF TWIST OF STRAWBERRY VODKA,750 ML,,70,11.95,143.40,
6210H,99900621017,SMIRNOFF TWIST OF STRAWBERRY VODKA,1.75 L,,70,24.95,149.70,
0626B,99900062675,SMIRNOFF TWIST OF VANILLA VODKA,750 ML,,70,11.95,143.40,
0626H,99900062617,SMIRNOFF TWIST OF VANILLA VODKA,1.75 L,,70,24.95,149.70,
6215B,99900621575,SMIRNOFF TWIST OF WATERMELON VODKA,750 ML,,70,11.95,143.40,
0674B,99900067475,SMIRNOFF VODKA 100,750 ML,,100,17.95,215.40,
0674E,99900067437,SMIRNOFF VODKA 100,375 ML,,100,9.95,238.80,
0674H,99900067417,SMIRNOFF VODKA 100,1.75 L,,100,34.95,209.70,
0679B,99900067975,SMIRNOFF VODKA 80,750 ML,,80,11.95,143.40,
0679D,99900067920,SMIRNOFF VODKA 80,200 ML,,80,4.95,237.60,
0679E,99900067937,SMIRNOFF VODKA 80,375 ML,,80,8.95,214.80,
0679F,99900067905,SMIRNOFF VODKA 80,50 ML,,80,1.75,210.00,
0679A,99900067910,SMIRNOFF VODKA 80,LITER,,80,14.95,179.40,
0669B,99900066975,SMIRNOFF VODKA LT. WGT.,750 ML,,80,11.95,143.40,
0669H,99900066917,SMIRNOFF VODKA LT. WGT.,1.75 L,,80,24.95,149.70,
0569B,99900056975,SMIRNOFF WHIPPED CREAM,750 ML,,60,11.95,143.40,
0569H,99900056917,SMIRNOFF WHIPPED CREAM,1.75 L,,60,24.95,149.70,
@ 5780B,99900578075,SMIRNOFF ZERO SUGAR CUCUMBER & LIME,750 ML,,60,11.95,143.40,
@ 9480B,99900948075,SMIRNOFF ZERO SUGAR INFUSION LEMON &,750 ML,,60,11.95,143.40,
@ 5779B,99900577975,SMIRNOFF ZERO SUGAR STRAWBERRY & ROSE,750 ML,,60,11.95,143.40,
@ 5778B,99900577875,SMIRNOFF ZERO SUGAR WATERMELON & MINT,750 ML,,60,11.95,143.40,
7422B,99900742275,SMITH AND CROSS LONDON JAMAICA RUM,750 ML,,114,34.95,419.40,
@ 5955B,99900595575,SMITHWORKS VODKA,750 ML,,80,14.95,179.40,
3104B,99900310475,SNAKE RIVER STAMPEDE 100 YR,750 ML,,80,39.95,479.40,
6274B,99900627475,SNAKE RIVER STAMPEDE CANADIAN WHISKEY,750 ML,,80,24.95,299.40,
6274H,99900627417,SNAKE RIVER STAMPEDE CANADIAN WHISKEY,1.75 L,,80,49.95,299.70,
6274E,99900627437,SNAKE RIVER STAMPEDE CANADIAN WHISKEY,375 ML,,80,14.95,358.80,
6274F,99900627405,SNAKE RIVER STAMPEDE CANADIAN WHISKEY,50 ML,,80,3.00,432.00,
2689B,99900268975,SNOW LEOPARD,750 ML,,80,26.95,161.70,
6407B,99900640775,SOBIESKI POLISH VODKA,750 ML,,80,11.95,143.40,
6407H,99900640717,SOBIESKI POLISH VODKA,1.75 L,,80,21.95,131.70,
@ 6407E,99900640737,SOBIESKI POLISH VODKA,375 ML,,80,5.95,142.80,
@ 9439A,99900943910,SODA JOY - CUCUMBER MINT 4-PK CANS,LITER,,20,14.95,89.70,
@ 9437A,99900943710,SODA JOY - LIME GINGER 4-PK CANS,LITER,,20,14.95,89.70,
@ 9438A,99900943810,SODA JOY - STRAWBERRY MANGO 4-PK CANS,LITER,,20,14.95,89.70,
7296B,99900729675,SOLERNO BLOOD ORANGE LIQUEUR (ITALY),750 ML,,80,43.95,263.70,
5840B,99900584075,SOMBRA AGAVE DE OAXACA MEZCAL,750 ML,,90,34.95,209.70,
3757E,99900375737,SOONHARI PEACH SOJU,375 ML,,24,6.15,123.00,
5571E,99900557137,SOONHARI STRAWBERRY KOREAN SOJU,375 ML,,24,6.15,123.00,
0916B,99900091675,SOUTHERN COMFORT 100,750 ML,,100,14.95,179.40,
0916F,99900091605,SOUTHERN COMFORT 100,50 ML,,100,2.00,240.00,
0916H,99900091617,SOUTHERN COMFORT 100,1.75 L,,100,32.95,197.70,
0903B,99900090375,SOUTHERN COMFORT 70 (WAS 76 PROOF),750 ML,,70,12.95,155.40,
